Full Name,First Name,Last Name,Profile URL,Headline,Location,Current Company,Current Job Title,VMID
Jeff Turner,Jeff,Turner,https://linkedin.com/in/jeff-turner-a2883016,Founder & CEO at Crestfield Risk,United States,Crestfield Risk,Founder & CEO,ACoAAANTeMAB4A460Rxgm1rHEby2E24Gcm6piqc
Jill Langenfeld,Jill,Langenfeld,https://linkedin.com/in/jill-langenfeld-coo,Healthcare Chief Operating Officer (COO) | Executive VP (EVP) | President | Operational & Digital Transformations | Scalable Growth | Restructuring & Turnarounds | Value-Based Care,United States,Tellihealth,Chief Operating Officer,ACoAAAFbCOoBxT0mPZflSmTXlXhUIeR8DihRhwg
David Tierney,David,Tierney,https://linkedin.com/in/david-tierney-5757019,Chief Executive Officer at Aramis Biosciences,"Rumson, New Jersey, United States",Aramis Biosciences,President & CEO,ACoAAAG0rekBFJ7azAWyPJjeDQJtR0YZpcDh9xo
Brad Goodall,Brad,Goodall,https://linkedin.com/in/brad-goodall-86331524,CEO and Founder at Banked,San Francisco Bay Area,Banked,CEO Co-Founder,ACoAAAUHm4sBg30saamBEUAou1-Sy8LYvXtYyoU
Richard Belenski,Richard,Belenski,https://linkedin.com/in/richard-belenski-6125283,CEO - President - COO,New York City Metropolitan Area,Fractional Execs On Demand (fractionalexecsondemand.com),Founder & Managing Director,ACoAAACch24BgHElOmDgen_xdN3BB-C7C-mCIo8
Alex Alexandrov,Alex,Alexandrov,https://linkedin.com/in/alexjalexandrov,Chief Executive Officer at Momentus Technologies,United States,Momentus Technologies,Chief Executive Officer,ACoAAABoXwwB-VL3i6C6p6WZCUG7EMTSssD5B8Y
Dan Maloney,Dan,Maloney,https://linkedin.com/in/danielwilliammaloney,Chief Executive Officer at LandingAI,"San Jose, California, United States",LandingAI,Chief Executive Officer (Previously COO),ACoAAAAJwwAB4fJXurgP308bsQ-gu4c6c2S0Y4g
Thomas Gabriele,Thomas,Gabriele,https://linkedin.com/in/thomasgabriele,CEO and Co-Founder @ wispr | Executive Leadership, MBA,United States,wispr,CEO and Co-Founder,ACoAAAEHYHIBpusVDCvkx0hi357xTFdNOhypeiE
Jim Atkinson,Jim,Atkinson,https://linkedin.com/in/jamesdatkinson,Chief Executive Officer at RedTeam Software,"Austin, Texas, United States",RedTeam - Construction Technology,Chief Executive Officer,ACoAAAADI3wBKk3LdjmzmzKMr0l8-nlhvZ-caEo
Jon Soldan,Jon,Soldan,https://linkedin.com/in/jonsoldan,CEO at Eftsure,United States,Eftsure,Chief Executive Officer (CEO),ACoAAAGu5JgBH_7mlfewov9S_K5JxQXw9y-8kIY
George Fuller,George,Fuller,https://linkedin.com/in/georgefuller2,CEO,"Spring, Texas, United States",Christensen, Inc.,President & COO,ACoAAAH0NukBBqofyJkYH-mMC5aCGdiA_85ZYPw
"Deborah Knobelman, PhD",Deborah,"Knobelman, PhD",https://linkedin.com/in/deborah-knobelman-phd,C-Suite Biotech Executive,United States,Stealth Mode Biotech,Founder and CEO,ACoAAABd6k8Bb8O9ymIE-mxxXk81I6hhE0mBKfA
David H.,David,H.,https://linkedin.com/in/davidhellercarbondivestindigiblock,Chief Executive Officer @ CarbonDivest.Org | Agile Expert Leading Climate Action in Multiple Industry Sectors esp. Hospitality,Miami-Fort Lauderdale Area,Hospitality and Sustainability Sector,Chief Sustainability Officer & VP,ACoAAARgg54BMnMbvh3EC2pv464efvSAPDJ1QnY
Nitesh Banga,Nitesh,Banga,https://linkedin.com/in/nitesh-banga-710248b,President and CEO at Virtusa,San Francisco Bay Area,Virtusa,Chief Executive Officer,ACoAAAH-RfwB_i-iivTX7jfmAt-rugccAXIXT0A
Adam Silverman (Hiring),Adam,Silverman (Hiring),https://linkedin.com/in/adamsil,Building Custom AI Agents @ Agency,"San Francisco, California, United States",Agency,Co-Founder + COO,ACoAAB9-nN0BzNRAovgaekKpzxs1UiPezADERIk
Bill Abajian,Bill,Abajian,https://linkedin.com/in/bill-abajian-70146a12,"Chief Executive Officer / Turnarounds & Startups","Cedar Grove, New Jersey, United States",The Abajian Group LLC,Managing Partner,ACoAAAKPPXEBjPaTGzWZROWyLVQ9iF1OVzPPzxg
Seok-Hee Lee,Seok-Hee,Lee,https://linkedin.com/in/seok-hee-lee-b8277811,President and CEO,United States,SK On,President and CEO,ACoAAAJtV5IBIP0WGRNfsgyrpBTDJ00R8Oy_4F0
Howard Lau,Howard,Lau,https://linkedin.com/in/howard-lau-525138,"Mentor, Independent Board Member, Startup Enthusiast","Menlo Park, California, United States",Vedasa, Inc.,President,ACoAAAAE9-0BixzEsMiEpllMMc87kQZmLhxSScE
Jacob Zuppke 🐈,Jacob,Zuppke 🐈,https://linkedin.com/in/jacobzuppke,President & CEO at Whisker,"Auburn Hills, Michigan, United States",Whisker,President & CEO,ACoAAAVQI60BXJ5SPq0XNtMOt1z5hAc7s6DT5tk
Shamik Talukder,Shamik,Talukder,https://linkedin.com/in/shamikt,CEO & Co Founder,Los Angeles Metropolitan Area,Be Tagged Pte Ltd,CEO & Co-Founder,ACoAAAG9pe4BgeDp43iXF2Eln2dmpEKe4PqI9ps
Myrna Soto,Myrna,Soto,https://linkedin.com/in/myrnasoto,"CEO & Founder, Senior Technology Executive, CIO/CISO, Corporate Board Member, Former Chief Strategy & Trust Officer , Global CISO Emeritus, Venture Capital Investor & Private Equity Advisor","Hollywood, Florida, United States",Consumers Energy,Corporate Director Member Board of Directors ( NYSE : CMS),ACoAAAD6npoBwmMzEtxHxw3ohvwWu3HeDsOG4hg
Denis Reilly,Denis,Reilly,https://linkedin.com/in/denisreilly,CEO | President | Board Director,"Chattanooga, Tennessee, United States",Kenco Group,President and CEO,ACoAAAGGSXkBhFYxdY3eKqHOH-M4MMr_6o1Foc8
Milton Segarra, CDME,Milton,Segarra, CDME,https://linkedin.com/in/milton-segarra-cdme-0396a29,President & CEO                       Discover The Palm Beaches ,"West Palm Beach, Florida, United States",Discover The Palm Beaches,President CEO,ACoAAAG0D60BoCVIjVAyB_OLwIIv0KBlKdNHdh0
